"TITULO","ISSN","ESTRATO"
"ACTA BIOL. COLOMB.","19001649","A3"
"ACTA BIOLÓGICA CATARINENSE","23583363","B4"
"ACTA BIOLOGICA COLOMBIANA","0120548X","B1"
"ACTA BOTANICA BRASILICA","01023306","A4"
"ACTA BOTANICA BRASILICA","1677941X","A4"
"ACTA BOTANICA BRASÍLICA","01023306","A4"
"ACTA BOTÁNICA MALACITANA","02109506","B4"
"ACTA CHIROPTEROLOGICA","15081109","A3"
"ACTA ETHOLOGICA","08739749","A4"
"ACTA LIMNOLOGICA BRASILIENSIA","2179975X","B4"
"ACTA OECOLOGICA","1146609X","A3"
"ACTA SCIENTIAE","15174492","B4"
"ACTA SCIENTIARUM. BIOLOGICAL SCIENCES","1807863X","B2"
"ACTA TROPICA","0001706X","A2"
"ACTA ZOOLÓGICA MEXICANA","00651737","B4"
"ADVANCES IN FORESTRY SCIENCE","23578181","B4"
"AFRICAN JOURNAL OF BIOTECHNOLOGY","16845315","B4"
"AGRÁRIA","19810997","B4"
"AGRICULTURAL AND FOREST ENTOMOLOGY","14619563","A2"
"AGRICULTURAL AND FOREST ENTOMOLOGY","14619555","A2"
"AGRICULTURE","20770472","A3"
"AGRICULTURE ECOSYSTEMS & ENVIRONMENT","01678809","A1"
"AGROTRÓPICA","01033816","B4"
"ALEXANDRIA","19825153","B4"
"ALGAL RESEARCH-BIOMASS BIOFUELS AND BIOPRODUCTS","22119264","A1"
"AMBIENTE & EDUCAÇÃO","14138638","B4"
"AMBIO","16547209","A1"
"AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE","00029637","A3"
"AMERICAN JOURNAL OF ZOOLOGY","23736771",NA
"AMERICAN-EURASIAN JOURNAL OF AGRICULTURAL & ENVIRONMENTAL SCIENCES","18186769",NA
"AMPHIBIA-REPTILIA","01735373","A4"
"ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS","00013765","A2"
"ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS","16782690","A2"
"ANIMAL BEHAVIOUR","00033472","A1"
"ANIMAL BIOLOGY","15707555","A4"
"ANNALES DE LA SOCIETE ENTOMOLOGIQUE DE FRANCE","00379271","B1"
"ANNALES DE LIMNOLOGIE-INTERNATIONAL JOURNAL OF LIMNOLOGY","00034088","B2"
"ANUÁRIO DO INSTITUTO DE GEOCIÊNCIAS - UFRJ","19823908",NA
"APIDOLOGIE","00448435","A2"
"APIDOLOGIE","12979678","A2"
"APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY","02732289","A3"
"APPLIED RADIATION AND ISOTOPES","09698043","A4"
"AQUACULTURE BRASIL","25253379",NA
"AQUATIC ECOLOGY","13862588","A2"
"AQUATIC ECOSYSTEM HEALTH AND MANAGEMENT","14634988","B1"
"AQUATIC SCIENCES","10151621","A2"
"ARARAJUBA","01035657",NA
"ARQUIVO BRASILEIRO DE MEDICINA VETERINÁRIA E ZOOTECNIA","01020935","B2"
"ARQUIVOS DE CIÊNCIAS DO MAR","25267639",NA
"ARQUIVOS DO MUSEU NACIONAL","03654508",NA
"ARTHROPOD-PLANT INTERACTIONS","18728855","A3"
"ATELIÊ GEOGRÁFICO","19821956","B4"
"ATUALIDADES ORNITOLÓGICAS","19818874",NA
"ATUALIDADES ORNITOLÓGICAS","01042386",NA
"ATUALIDADES ORNITOLÓGICAS","19818873",NA
"AUST J CROP SCI","18352693","B4"
"AUSTRAL ECOLOGY","14429985","A4"
"BASIC AND APPLIED ECOLOGY","14391791","A2"
"BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY","03405443","A1"
"BIOACOUSTICS","21650586","A2"
"BIOCHEMICAL SYSTEMATICS AND ECOLOGY","03051978","B1"
"BIOCONTROL SCIENCE AND TECHNOLOGY","13600478","A3"
"BIODIVERSIDADE BRASILEIRA","22362886","B4"
"BIODIVERSIDADE PAMPEANA","16796179",NA
"BIODIVERSITY AND CONSERVATION","09603115","A2"
